teamName,year,division,village,grandPrizeLevel,top10,medal,specialPrizes,villageAwards
"Vilnius-Lithuania","2020","Undergraduate","Environment","Grand Prize Winner","false","Gold","Best Hardware (Nominee) | Best Measurement (Winner) | Best Model (Nominee) | Best Poster (Nominee) | Best Presentation (Nominee) | Best Software Tool (Nominee) | Best Wiki (Nominee)",""
"Waseda","2020","Undergraduate","Information Processing","","false","Gold","Best Education (Nominee)",""
"Waterloo","2020","Undergraduate","Manufacturing","","false","Gold","Inclusivity Award (Nominee) | Best Wiki (Nominee)",""
"William_and_Mary","2020","Undergraduate","Therapeutics","","false","Gold","Best Integrated Human Practices (Nominee) | Best Model (Winner) | Best Poster (Nominee)",""
"XMU-China","2020","Undergraduate","Food & Nutrition","2nd Runner-up","false","Gold","Best New Basic Part (Nominee) | Best Part Collection (Winner) | Best Presentation (Winner) | Best Wiki (Nominee)",""
"ZJUT_China_B","2020","Undergraduate","Diagnostics","","false","Gold","Best Hardware (Nominee)",""
"Aachen","2021","Graduate","Foundational Advance","Top 10","true","Gold","Best Hardware (Winner) | Best Integrated Human Practices (Nominee) | Best Model (Nominee) | Best Presentation (Nominee) | Best Software Tool (Nominee) | Best Wiki (Nominee)","Best Foundational Advance Project (Nominee)"
"Aboa","2021","Graduate","Environment","","false","Silver","Inclusivity Award (Nominee)",""
"Bielefeld-CeBiTec","2021","Graduate","New Application","Top 10","true","Gold","Best New Basic Part (Nominee)","Best New Application Project (Nominee)"
"BJEA_China","2021","High School","High School","","false","Gold","Best Presentation (Nominee) | Best Wiki (Nominee)",""
"BNU-China","2021","Graduate","Manufacturing","","false","Gold","Inclusivity Award (Nominee)",""
"BOKU-Vienna","2021","Graduate","Therapeutics","","false","Gold","Inclusivity Award (Nominee) | Best Model (Nominee) | Best Presentation (Nominee) | Best Wiki (Nominee)","Best Therapeutics Project (Nominee)"
"Bolivia","2021","Undergraduate","Environment","","false","Gold","Best Education (Nominee) | Inclusivity Award (Winner) | Best Integrated Human Practices (Winner)","Best Environment Project (Nominee)"
"British_Columbia","2021","Undergraduate","Diagnostics","","false","Gold","","Best Diagnostics Project (Nominee)"
"Calgary","2021","Undergraduate","Environment","","false","Gold","Best Presentation (Nominee) | Best Sustainable Development (Nominee)","Best Environment Project (Nominee)"
"CCA_San_Diego","2021","High School","High School","Top 10","true","Gold","Best Education (Winner) | Inclusivity Award (Nominee) | Best Integrated Human Practices (Nominee) | Best Wiki (Nominee)",""
"CCU_Taiwan","2021","Undergraduate","Therapeutics","","false","Gold","Best Measurement (Nominee)",""
"CHINA-FAFU","2021","Undergraduate","Environment","","false","Gold","Best Sustainable Development (Nominee)",""
"City_of_London_UK","2021","High School","High School","","false","Gold","Best New Basic Part (Nominee)",""
"Concordia-Montreal","2021","Graduate","Foundational Advance","","false","Gold","Best Hardware (Nominee)",""
"CPU_CHINA","2021","Undergraduate","Environment","","false","Gold","Best New Basic Part (Nominee) | Best Part Collection (Nominee)",""
"CSMU_Taiwan","2021","Undergraduate","Diagnostics","","false","Gold","Best Software Tool (Nominee)",""
"CSU_CHINA","2021","Undergraduate","Therapeutics","","false","Gold","Best Software Tool (Nominee)",""
"DTU-Denmark","2021","Graduate","Foundational Advance","Top 10","true","Gold","Best Model (Nominee) | Best Part Collection (Winner) | Best Presentation (Nominee) | Best Sustainable Development (Nominee)","Best Foundational Advance Project (Nominee)"
"DUT_China","2021","Undergraduate","Environment","","false","Gold","Best New Composite Part (Nominee)","Best Environment Project (Nominee)"
"Ecuador","2021","Undergraduate","Food & Nutrition","Top 10","true","Gold","Best Hardware (Nominee) | Best Integrated Human Practices (Nominee) | Best Model (Winner) | Best New Composite Part (Winner) | Best Sustainable Development (Winner)","Best Food & Nutrition Project (Winner)"
"EPFL","2021","Graduate","Environment","","false","Gold","Best Wiki (Winner)","Best Environment Project (Nominee)"
"Evry_Paris-Saclay","2021","Graduate","Foundational Advance","","false","Gold","Best Wiki (Nominee)",""
"FCB-UANL","2021","Undergraduate","Environment","Top 10","true","Gold","Best Education (Nominee) | Best Integrated Human Practices (Nominee) | Best Model (Nominee) | Best Presentation (Nominee) | Best Safety & Security (Nominee) | Best Supporting Entrepreneurship (Nominee)","Best Environment Project (Winner)"
"Fudan","2021","Undergraduate","Diagnostics","","false","Gold","Inclusivity Award (Nominee) | Best Measurement (Nominee) | Best New Basic Part (Nominee) | Best Sustainable Development (Nominee)",""
"Fujian_United","2021","High School","High School","","false","Gold","Best Supporting Entrepreneurship (Nominee)",""
"Gifu","2021","Undergraduate","Diagnostics","","false","Gold","Best Wiki (Nominee)",""
"GO_Paris-Saclay","2021","Graduate","Diagnostics","","false","Gold","Inclusivity Award (Winner)",""
"GreatBay_SZ","2021","High School","High School","Top 10","true","Gold","Best Presentation (Nominee) | Best Wiki (Nominee)",""
"GreatBay_United","2021","High School","High School","","false","Gold","Best Education (Nominee) | Best Sustainable Development (Nominee)",""
"Groningen","2021","Graduate","Environment","Top 10","true","Gold","Best Education (Nominee) | Best Model (Nominee) | Best Presentation (Nominee) | Best Wiki (Nominee)","Best Environment Project (Winner)"
"Heidelberg","2021","Graduate","Therapeutics","","false","Gold","Best New Composite Part (Nominee) | Best Software Tool (Nominee)","Best Therapeutics Project (Nominee)"
"HK_SSC","2021","High School","High School","","false","Gold","Best Presentation (Winner) | Best Wiki (Nominee)",""
"Humboldt_Berlin","2021","Graduate","Therapeutics","","false","Silver","Best Model (Nominee)",""
"HZAU-China","2021","Graduate","Diagnostics","Top 10","true","Gold","Best Education (Nominee) | Best Measurement (Nominee) | Best Model (Winner) | Best New Composite Part (Nominee) | Best Part Collection (Nominee)","Best Diagnostics Project (Nominee)"
"iBowu-China","2021","High School","High School","Top 10","true","Gold","Best Education (Nominee) | Best Integrated Human Practices (Nominee) | Best Wiki (Nominee)",""
"IISER_Berhampur","2021","Undergraduate","Diagnostics","","false","Gold","","Best Diagnostics Project (Nominee)"
"IISER_Kolkata","2021","Undergraduate","Therapeutics","","false","Gold","Inclusivity Award (Nominee) | Best New Composite Part (Nominee) | Best Supporting Entrepreneurship (Nominee)","Best Therapeutics Project (Nominee)"
"IISER-Pune-India","2021","Undergraduate","Manufacturing","","false","Gold","Best Education (Nominee)","Best Biomanufacturing Project (Nominee)"
"IISER-Tirupati_India","2021","Undergraduate","New Application","","false","Gold","Best Education (Nominee) | Inclusivity Award (Nominee) | Best Integrated Human Practices (Nominee) | Best Safety & Security (Nominee) | Best Sustainable Development (Nominee) | Best Wiki (Nominee)","Best New Application Project (Nominee)"
"Ionis_Paris","2021","Undergraduate","Diagnostics","","false","Gold","","Best Diagnostics Project (Nominee)"
"IvyMaker-China","2021","High School","High School","","false","Gold","Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Presentation (Winner)",""
"KCL_UK","2021","Undergraduate","Therapeutics","","false","Gold","Best Education (Nominee) | Best Integrated Human Practices (Nominee) | Best Presentation (Winner) | Best Supporting Entrepreneurship (Nominee) | Best Wiki (Nominee)","Best Therapeutics Project (Nominee)"
"Korea_HS","2021","High School","High School","","false","Silver","Inclusivity Award (Winner)",""
"Kyoto","2021","Undergraduate","Environment","","false","Gold","Best Software Tool (Nominee)",""
"Lambert_GA","2021","High School","High School","Top 10","true","Gold","Best Education (Nominee) | Best Hardware (Nominee) | Best Integrated Human Practices (Winner) | Best Measurement (Nominee) | Best Model (Nominee) | Best Safety & Security (Nominee) | Best Sustainable Development (Nominee)",""
"Leiden","2021","Graduate","Foundational Advance","","false","Gold","Best Safety & Security (Winner)",""
"Lethbridge_HS","2021","High School","High School","","false","Gold","Best Presentation (Nominee) | Best Wiki (Nominee)",""
"Linkoping_Sweden","2021","Graduate","Environment","","false","Silver","","Best Environment Project (Nominee)"
"LINKS_China","2021","High School","High School","Grand Prize Winner","true","Gold","Best Hardware (Nominee) | Best Integrated Human Practices (Nominee) | Best Measurement (Nominee) | Best Model (Nominee) | Best New Basic Part (Winner) | Best New Composite Part (Winner) | Best Part Collection (Winner) | Best Presentation (Nominee) | Best Supporting Entrepreneurship (Winner) | Best Sustainable Development (Nominee) | Best Wiki (Winner)",""
"LMSU","2021","Undergraduate","Food & Nutrition","","false","Gold","","Best Food & Nutrition Project (Nominee)"
"Marburg","2021","Graduate","Foundational Advance","Grand Prize Winner","true","Gold","Best Education (Winner) | Best Integrated Human Practices (Winner) | Best Measurement (Winner) | Best New Basic Part (Winner) | Best New Composite Part (Winner) | Best Part Collection (Nominee) | Best Plant Synthetic Biology (Nominee) | Best Presentation (Winner) | Best Safety & Security (Winner) | Best Software Tool (Winner) | Best Sustainable Development (Winner) | Best Wiki (Nominee)","Best Foundational Advance Project (Winner)"
"MiamiU_OH","2021","Undergraduate","Food & Nutrition","","false","Gold","Best Plant Synthetic Biology (Nominee)","Best Food & Nutrition Project (Nominee)"
"Mingdao","2021","High School","High School","Top 10","true","Gold","Best Education (Nominee) | Best Measurement (Winner) | Best Model (Nominee) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee) | Best Supporting Entrepreneurship (Nominee)",""
"NCKU_Tainan","2021","Graduate","Food & Nutrition","","false","Gold","Best Education (Nominee) | Best Hardware (Nominee) | Best Sustainable Development (Nominee)",""
"NCTU_Formosa","2021","Undergraduate","Therapeutics","","false","Gold","Best New Composite Part (Nominee)",""
"NDNF_China","2021","High School","High School","Top 10","true","Gold","Best Integrated Human Practices (Nominee) | Best New Composite Part (Nominee) | Best Presentation (Nominee) | Best Safety & Security (Winner) | Best Wiki (Nominee)",""
"NEFU_China","2021","Undergraduate","Diagnostics","","false","Gold","Best New Basic Part (Nominee) | Best Part Collection (Nominee) | Best Presentation (Nominee) | Best Wiki (Winner)","Best Diagnostics Project (Winner)"
"NJMU-China","2021","Undergraduate","Therapeutics","","false","Gold","Inclusivity Award (Nominee)",""
"NMU_China","2021","Undergraduate","Therapeutics","","false","Gold","Best Part Collection (Nominee)",""
"NTU-Singapore","2021","Graduate","Diagnostics","","false","Gold","Best Supporting Entrepreneurship (Nominee)",""
"NU_Kazakhstan","2021","Undergraduate","Environment","Top 10","true","Gold","Inclusivity Award (Nominee) | Best Sustainable Development (Nominee) | Best Wiki (Nominee)","Best Environment Project (Nominee)"
"NUDT_CHINA","2021","Undergraduate","Foundational Advance","Top 10","true","Gold","Best Part Collection (Nominee)","Best Foundational Advance Project (Nominee)"
"NUS_Singapore","2021","Undergraduate","Manufacturing","1st Runner-up","true","Gold","Best Hardware (Nominee) | Best Integrated Human Practices (Nominee) | Best Model (Nominee) | Best Part Collection (Winner) | Best Presentation (Nominee) | Best Wiki (Winner)","Best Biomanufacturing Project (Winner)"
"NYCU-Taipei","2021","Undergraduate","Therapeutics","","false","Gold","Best Presentation (Nominee)","Best Therapeutics Project (Nominee)"
"Paris_Bettencourt","2021","Graduate","Manufacturing","","false","Gold","Best Hardware (Nominee) | Best Integrated Human Practices (Nominee) | Best Wiki (Nominee)","Best Biomanufacturing Project (Winner)"
"Patras","2021","Graduate","Diagnostics","","false","Bronze","Inclusivity Award (Nominee)",""
"Purdue","2021","Graduate","Diagnostics","","false","Silver","","Best Diagnostics Project (Nominee)"
"Rochester","2021","Undergraduate","Diagnostics","","false","Gold","Best Education (Nominee) | Best Hardware (Nominee)","Best Diagnostics Project (Nominee)"
"SDU-Denmark","2021","Graduate","Manufacturing","","false","Gold","Best Supporting Entrepreneurship (Nominee) | Best Wiki (Nominee)","Best Biomanufacturing Project (Nominee)"
"ShanghaiTech_China","2021","Undergraduate","New Application","2nd Runner-up","true","Gold","Best Hardware (Nominee) | Best Integrated Human Practices (Nominee) | Best Model (Nominee) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee) | Best Presentation (Nominee) | Best Supporting Entrepreneurship (Winner) | Best Sustainable Development (Nominee) | Best Wiki (Nominee)","Best New Application Project (Winner)"
"SHSBNU_China","2021","High School","High School","Top 10","true","Gold","Best Hardware (Nominee) | Best Model (Nominee) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee) | Best Presentation (Nominee)",""
"SHSID","2021","High School","High School","","false","Gold","Best Supporting Entrepreneurship (Nominee)",""
"SJTang","2021","High School","High School","","false","Silver","Best Hardware (Winner)",""
"SJTU-Software","2021","Undergraduate","Software","","false","Gold","","Best Software Project (Nominee)"
"SMS_Shenzhen","2021","High School","High School","","false","Gold","Best Education (Nominee) | Best Model (Nominee)",""
"SZ_SHD","2021","High School","High School","1st Runner-up","true","Gold","Best Integrated Human Practices (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee) | Best Presentation (Nominee) | Best Wiki (Nominee)",""
"SZPT-CHINA","2021","Graduate","Therapeutics","","false","Gold","Best Education (Nominee) | Inclusivity Award (Nominee) | Best Presentation (Winner)","Best Therapeutics Project (Winner)"
"SZU-China","2021","Undergraduate","Manufacturing","Top 10","true","Gold","Best New Basic Part (Nominee)","Best Biomanufacturing Project (Nominee)"
"TAS_Taipei","2021","High School","High School","Top 10","true","Gold","Best Education (Nominee) | Best Hardware (Nominee) | Inclusivity Award (Nominee) | Best Integrated Human Practices (Nominee) | Best Model (Winner) | Best New Basic Part (Nominee) | Best Part Collection (Nominee) | Best Presentation (Nominee) | Best Supporting Entrepreneurship (Nominee) | Best Sustainable Development (Winner) | Best Wiki (Winner)",""
"Tec-Monterrey","2021","Undergraduate","Environment","","false","Gold","Best Software Tool (Nominee)",""
"Thessaly","2021","Undergraduate","Food & Nutrition","","false","Gold","","Best Food & Nutrition Project (Nominee)"
"Tianjin","2021","Graduate","Foundational Advance","","false","Gold","Best Measurement (Nominee)",""
"Tongji_Software","2021","Undergraduate","Software","","false","Gold","","Best Software Project (Winner)"
"Toulouse_INSA-UPS","2021","Undergraduate","Manufacturing","Grand Prize Winner","true","Gold","Best Model (Nominee) | Best Presentation (Nominee) | Best Supporting Entrepreneurship (Nominee) | Best Wiki (Nominee)","Best Biomanufacturing Project (Nominee)"
"TU_Darmstadt","2021","Graduate","New Application","","false","Gold","Best Education (Nominee) | Inclusivity Award (Nominee) | Best Software Tool (Nominee) | Best Wiki (Winner)","Best New Application Project (Nominee)"
"TU_Kaiserslautern","2021","Undergraduate","Foundational Advance","","false","Gold","","Best Foundational Advance Project (Nominee)"
"TU-Eindhoven","2021","Graduate","Diagnostics","","false","Gold","Best Education (Nominee) | Best Integrated Human Practices (Nominee) | Best Model (Nominee) | Best New Basic Part (Nominee) | Best Presentation (Nominee)","Best Diagnostics Project (Nominee)"
"TUDelft","2021","Graduate","Diagnostics","1st Runner-up","true","Gold","Best Integrated Human Practices (Nominee) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee) | Best Safety & Security (Nominee) | Best Supporting Entrepreneurship (Winner) | Best Sustainable Development (Nominee)","Best Diagnostics Project (Winner)"
"UESTC-China","2021","Undergraduate","New Application","","false","Gold","Best Supporting Entrepreneurship (Nominee)","Best New Application Project (Nominee)"
"ULaval","2021","Graduate","Food & Nutrition","","false","Gold","Best Presentation (Nominee)","Best Food & Nutrition Project (Nominee)"
"UNILA_LatAm","2021","Graduate","New Application","","false","Gold","Best Integrated Human Practices (Nominee)","Best New Application Project (Nominee)"
"UNILausanne","2021","Graduate","Food & Nutrition","Top 10","true","Gold","Best Hardware (Nominee) | Best Measurement (Nominee) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee)","Best Food & Nutrition Project (Winner)"
"UParis_BME","2021","Graduate","Diagnostics","","false","Silver","Best Education (Nominee) | Best Integrated Human Practices (Nominee)",""
"UPenn","2021","Undergraduate","Foundational Advance","Top 10","true","Gold","Best Hardware (Winner) | Best Presentation (Winner) | Best Wiki (Nominee)","Best Foundational Advance Project (Winner)"
"Uppsala","2021","Graduate","Food & Nutrition","","false","Gold","Best Model (Nominee)",""
"USP-Brazil","2021","Graduate","Environment","Top 10","true","Gold","Best Education (Nominee) | Best Integrated Human Practices (Nominee) | Best New Composite Part (Nominee) | Best Plant Synthetic Biology (Winner)","Best Environment Project (Nominee)"
"UZurich","2021","Graduate","New Application","Top 10","true","Gold","Best Integrated Human Practices (Nominee) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee) | Best Plant Synthetic Biology (Nominee) | Best Presentation (Nominee) | Best Sustainable Development (Nominee) | Best Wiki (Nominee)","Best New Application Project (Winner)"
"Vilnius-Lithuania","2021","Undergraduate","Therapeutics","","false","Gold","Best Education (Winner) | Best Hardware (Nominee) | Inclusivity Award (Nominee) | Best Measurement (Winner) | Best Model (Nominee) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee) | Best Presentation (Nominee) | Best Software Tool (Nominee) | Best Supporting Entrepreneurship (Nominee)","Best Therapeutics Project (Nominee)"
"Wageningen_UR","2021","Graduate","Environment","","false","Gold","Best Presentation (Nominee) | Best Sustainable Development (Nominee)","Best Environment Project (Nominee)"
"Warwick","2021","Undergraduate","Diagnostics","","false","Gold","Best Model (Nominee)",""
"WHU-China","2021","Undergraduate","Therapeutics","","false","Gold","Best Measurement (Nominee)",""
"William_and_Mary","2021","Undergraduate","Foundational Advance","","false","Gold","","Best Foundational Advance Project (Nominee)"
"Worldshaper-Nanjing","2021","High School","High School","","false","Gold","Best Part Collection (Nominee)",""
"XMU-China","2021","Undergraduate","New Application","","false","Gold","Best Model (Nominee) | Best New Basic Part (Nominee) | Best New Composite Part (Nominee) | Best Part Collection (Nominee)","Best New Application Project (Nominee)"
